Gene	Correlation	Labels	dot	class
ENSG00000010818.10	0.368006724			
ENSG00000180263.14	0.367779359			
ENSG00000182752.10	0.367583297			
ENSG00000205213.14	0.367524699			
ENSG00000150457.9	0.367516559			
ENSG00000138735.16	0.367486207			
ENSG00000172007.7	0.36739894			
ENSG00000164151.12	0.367380661			
ENSG00000085365.18	0.367100883			
ENSG00000166326.7	0.367035566			
ENSG00000116095.11	0.367019021			
ENSG00000116962.15	0.366825304			
ENSG00000035403.18	0.366487372			
ENSG00000184203.8	0.36641089			
ENSG00000085719.13	0.366208062			
ENSG00000048392.12	0.365990958			
ENSG00000241399.7	0.365938986			
ENSG00000138639.18	0.365527622			
ENSG00000040199.18	0.365479942			
ENSG00000256139.2	0.365188319			
ENSG00000112851.15	0.365023932			
ENSG00000174738.13	0.364926823			
ENSG00000152332.16	0.364712196			
ENSG00000107897.20	0.364480434			
ENSG00000174891.13	0.364434049			
ENSG00000031081.11	0.364199948			
ENSG00000257315.3	0.36417816			
ENSG00000174106.3	0.364013306			
ENSG00000275052.5	0.363942213			
ENSG00000089472.16	0.363759886			
ENSG00000138459.9	0.363636101			
ENSG00000084112.15	0.363211584			
ENSG00000124942.14	0.363166191			
ENSG00000170385.10	0.363158687			
ENSG00000083097.14	0.363155815			
ENSG00000109787.13	0.363127022			
ENSG00000142892.15	0.36307827			
ENSG00000023228.14	0.362964942			
ENSG00000129515.20	0.362950606			
ENSG00000168216.13	0.362928355			
ENSG00000068912.14	0.362772098			
ENSG00000197429.11	0.362677964			
ENSG00000173230.15	0.362625153			
ENSG00000100234.12	0.362565799			
ENSG00000241684.6	0.362546663			
ENSG00000105983.22	0.362276842			
ENSG00000184384.14	0.362135744			
ENSG00000134278.15	0.362129526			
ENSG00000157224.16	0.361875174			
ENSG00000260032.2	0.361832003			
ENSG00000242588.6	0.361810506			
ENSG00000123066.9	0.361807125			
ENSG00000243156.9	0.361558726			
ENSG00000092148.13	0.361493831			
ENSG00000050405.13	0.361353524			
ENSG00000139132.14	0.361212647			
ENSG00000145623.13	0.361173374			
ENSG00000140396.13	0.361116319			
